EVENTO,SERIE,CONJUNTO,ANO,MES,DIA,HORA,MINUTO,COD_SEQUENCIAL,DATA_HORA,inp01_input_1_nivel_86472600,inp02_input_2_nivel_D_1h_86472600,inp03_input_3_chuva_med_acum_36h,inp04_input_6_nivel_86448000,inp05_input_6_nivel_D_12H_86448000,inp06_input_6_nivel_D_14H_86448000,inp07_input_8_nivel_86125130,inp08_input_8_nivel_D_10h_86125130,inp09_input_8_nivel_D_11h_86125130,inp10_input_8_nivel_D_12h_86125130,inp11_input_12_nivel_D_2h_86472600,inp12_input_13_nivel_D_4h_86472600,saida_12h_conv_nivel_12h_86472600,NIVEL_ATUAL_CM,OBSERVADO_12H_CM_AUDITORIA,PERSISTENCIA_CM,TIPO_ALVO_RNA,OBSERVADO_CM_AUDITORIA,RNA_CM,ALT_OBSERVADA_CM,ALT_RNA_CM,ERRO_RNA_CM,ERRO_ABS_CM,E2_RNA,PERS_BASE_NIVEL_ATUAL_CM,E2_PERS,SERIE_AUDITORIA,CONJUNTO_AUDITORIA
2,3,Teste,2023,6,16,23,0,202306162300,2023-06-16 23:00,888,7,64.91483682983682,14973,-16,-34,163,-5,-4,-1,14,7,735,888,735,888,nivel_conv,735,629.402180479063,-153,-258.597819520937,-105.597819520937,105.597819520937,11150.89948757639,888,23409,3,Teste
2,3,Teste,2023,6,17,0,0,202306170000,2023-06-17 00:00,893,5,60.5882634032634,14985,-7,-8,162,-6,-6,-5,12,16,728,893,728,893,nivel_conv,728,630.5915621995996,-165,-262.4084378004004,-97.4084378004004,97.4084378004004,9488.403754714474,893,27225,3,Teste
2,3,Teste,2023,6,17,1,0,202306170100,2023-06-17 01:00,881,-12,56.44886946386946,14991,-3,2,160,-9,-8,-8,-7,7,721,881,721,881,nivel_conv,721,601.4702482197981,-160,-279.5297517802019,-119.5297517802019,119.5297517802019,14287.36156063667,881,25600,3,Teste
2,3,Teste,2023,6,17,2,0,202306170200,2023-06-17 02:00,868,-13,53.13278554778555,14984,-11,-8,158,-11,-11,-10,-25,-13,711,868,711,868,nivel_conv,711,572.8815949593177,-157,-295.1184050406823,-138.1184050406823,138.1184050406823,19076.69381098198,868,24649,3,Teste
2,3,Teste,2023,6,17,3,0,202306170300,2023-06-17 03:00,856,-12,48.35020979020979,14998,2,4,156,-13,-13,-13,-25,-32,696,856,696,856,nivel_conv,696,564.7342250785987,-160,-291.2657749214013,-131.2657749214013,131.2657749214013,17230.70366571599,856,25600,3,Teste
2,3,Teste,2023,6,17,4,0,202306170400,2023-06-17 04:00,843,-13,42.78237762237762,15002,3,7,156,-12,-13,-13,-25,-50,681,843,681,843,nivel_conv,681,554.1754488009667,-162,-288.8245511990333,-126.8245511990333,126.8245511990333,16084.46678683622,843,26244,3,Teste
2,3,Teste,2023,6,17,8,0,202306170800,2023-06-17 08:00,771,-16,28.30067599067599,14990,9,2,148,-15,-17,-19,-30,-72,641,771,641,771,nivel_conv,641,499.0730263960878,-130,-271.9269736039122,-141.9269736039122,141.9269736039122,20143.2658363656,771,16900,3,Teste
2,3,Teste,2023,6,17,9,0,202306170900,2023-06-17 09:00,754,-17,27.16734265734265,14981,5,-5,146,-17,-17,-19,-33,-68,638,754,638,754,nivel_conv,638,486.7120780420502,-116,-267.2879219579498,-151.2879219579498,151.2879219579498,22888.0353303547,754,13456,3,Teste
2,3,Teste,2023,6,17,10,0,202306171000,2023-06-17 10:00,742,-12,25.55900932400932,14986,18,5,144,-18,-19,-19,-29,-59,632,742,632,742,nivel_conv,632,490.2855878960985,-110,-251.7144121039015,-141.7144121039015,141.7144121039015,20082.97459795441,742,12100,3,Teste
2,3,Teste,2023,6,17,11,0,202306171100,2023-06-17 11:00,735,-7,24.90900932400932,14986,13,10,142,-18,-20,-21,-19,-52,624,735,624,735,nivel_conv,624,492.0964926886637,-111,-242.9035073113363,-131.9035073113363,131.9035073113363,17398.53524103176,735,12321,3,Teste
2,3,Teste,2023,6,17,12,0,202306171200,2023-06-17 12:00,728,-7,23.76734265734265,14981,-4,13,141,-17,-19,-21,-14,-43,620,728,620,728,nivel_conv,620,489.1942420094357,-108,-238.8057579905643,-130.8057579905643,130.8057579905643,17110.14632348608,728,11664,3,Teste
2,3,Teste,2023,6,17,13,0,202306171300,2023-06-17 13:00,721,-7,22.49234265734265,14981,-10,8,139,-17,-19,-21,-14,-33,613,721,613,721,nivel_conv,613,484.8113953458013,-108,-236.1886046541987,-128.1886046541987,128.1886046541987,16432.31836319045,721,11664,3,Teste
2,3,Teste,2023,6,17,14,0,202306171400,2023-06-17 14:00,711,-10,20.64234265734265,14985,1,0,138,-18,-18,-20,-17,-31,606,711,606,711,nivel_conv,606,479.9485762258748,-105,-231.0514237741252,-126.0514237741252,126.0514237741252,15888.9614354841,711,11025,3,Teste
2,3,Teste,2023,6,17,20,0,202306172000,2023-06-17 20:00,641,-5,6.572342657342655,14987,-3,-11,131,-13,-15,-17,-13,-40,568,641,568,641,nivel_conv,568,453.8758688181731,-73,-187.1241311818269,-114.1241311818269,114.1241311818269,13024.31731800683,641,5329,3,Teste
2,3,Teste,2023,6,17,21,0,202306172100,2023-06-17 21:00,638,-3,6.205675990675988,14987,6,-8,130,-12,-14,-16,-8,-28,564,638,564,638,nivel_conv,564,460.2872118288322,-74,-177.7127881711678,-103.7127881711678,103.7127881711678,10756.34243023752,638,5476,3,Teste
2,3,Teste,2023,6,17,22,0,202306172200,2023-06-17 22:00,632,-6,5.577470862470862,14984,-2,-6,129,-12,-13,-15,-9,-22,559,632,559,632,nivel_conv,559,456.2304356488527,-73,-175.7695643511473,-102.7695643511473,102.7695643511473,10561.5833569246,632,5329,3,Teste
2,3,Teste,2023,6,17,23,0,202306172300,2023-06-17 23:00,624,-8,5.171060606060604,14980,-6,-1,128,-11,-13,-14,-14,-22,549,624,549,624,nivel_conv,549,451.5023007345214,-75,-172.4976992654786,-97.49769926547862,97.49769926547862,9505.80136206171,624,5625,3,Teste
2,3,Teste,2023,6,18,0,0,202306180000,2023-06-18 00:00,620,-4,4.927470862470861,14976,-5,-10,126,-12,-13,-15,-12,-21,533,620,533,620,nivel_conv,533,448.7369112125681,-87,-171.2630887874319,-84.26308878743185,84.26308878743185,7100.268131998624,620,7569,3,Teste
2,3,Teste,2023,6,18,1,0,202306180100,2023-06-18 01:00,613,-7,4.760804195804194,14973,-8,-13,125,-12,-13,-14,-11,-25,519,613,519,613,nivel_conv,519,443.4789600027825,-94,-169.5210399972175,-75.52103999721749,75.52103999721749,5703.427482261323,613,8836,3,Teste
2,3,Teste,2023,6,18,7,0,202306180700,2023-06-18 07:00,574,-7,3.007424242424241,14971,-11,-18,121,-9,-10,-11,-14,-25,509,574,509,574,nivel_conv,509,434.0603099303454,-65,-139.9396900696546,-74.9396900696546,74.9396900696546,5615.957147735889,574,4225,3,Teste
2,3,Teste,2023,6,18,8,0,202306180800,2023-06-18 08:00,568,-6,2.840757575757575,14989,2,3,121,-8,-9,-10,-13,-26,513,568,513,568,nivel_conv,513,444.5897737044834,-55,-123.4102262955166,-68.41022629551662,68.41022629551662,4679.959061803794,568,3025,3,Teste
