EVENTO,SERIE,CONJUNTO,ANO,MES,DIA,HORA,MINUTO,COD_SEQUENCIAL,DATA_HORA,inp01_input_1_nivel_86472600,inp02_input_2_nivel_D-1h_86472600,inp03_input_3_chuva_med_acum_36h,inp04_input_6a_nivel_86448000,inp05_input_6b_nivel_D-14H_86448000,inp06_input_7a_nivel_86472000,inp07_input_7b_nivel_D-2h_86472000,inp08_input_7c_nivel_A-14h_86472000,inp09_input_16_nivel_A-1h_86472600,inp10_input_17_nivel_A-2h_86472600,inp11_input_18_nivel_A-4h_86472600,saida_8h_conv_nivel_8h_86472600,NIVEL_ATUAL_CM,RNA_CM,ERRO_CM,ERRO_ABS_CM,E2_RNA,E2_PERS,PERS_BASE_NIVEL_ATUAL_CM,OBSERVADO_CM_AUDITORIA
2,1,Validacao,2023,6,16,13,0,202306161300,2023-06-16 13:00,867,33,78.80510489510489,14994,171,1031,14,-10,-31,-38,-47,874,867,1006.109699217674,132.1096992176738,132.1096992176738,17452.97262738424,49,867,874
2,1,Validacao,2023,6,16,14,0,202306161400,2023-06-16 14:00,880,13,77.96151515151516,14995,129,1036,9,-2,-20,-51,-61,881,880,986.6956586080671,105.6956586080671,105.6956586080671,11171.57224859307,1,880,881
2,1,Validacao,2023,6,16,15,0,202306161500,2023-06-16 15:00,886,6,77.16151515151516,14996,81,1036,5,3,-7,-27,-65,888,886,959.8221082781677,71.82210827816766,71.82210827816766,5158.41523752084,4,886,888
2,1,Validacao,2023,6,16,16,0,202306161600,2023-06-16 16:00,888,2,76.22305361305362,14999,21,1037,1,8,-4,-11,-62,893,888,903.6793249561701,10.67932495617015,10.67932495617015,114.0479815194786,25,888,893
2,1,Validacao,2023,6,16,17,0,202306161700,2023-06-16 17:00,888,0,75.46920745920747,15008,12,1029,-7,-6,-2,-6,-33,881,888,893.509391521429,12.50939152142905,12.50939152142905,156.484876236401,49,888,881
2,1,Validacao,2023,6,16,18,0,202306161800,2023-06-16 18:00,883,-5,75.207668997669,14988,-10,1027,-10,-7,-5,-7,-18,868,883,847.4611030537177,-20.53889694628231,20.53889694628231,421.8462877700047,225,883,868
2,1,Validacao,2023,6,16,19,0,202306161900,2023-06-16 19:00,881,-2,74.45382284382285,14986,-22,1023,-6,-24,3,-2,-8,856,881,871.5123681340108,15.51236813401079,15.51236813401079,240.6335651250732,625,881,856
2,1,Validacao,2023,6,16,20,0,202306162000,2023-06-16 20:00,877,-4,72.73587412587413,14981,-21,1026,-1,-56,-2,1,-6,843,877,851.1682548522913,8.168254852291284,8.168254852291284,66.7203873319801,1156,877,843
2,1,Validacao,2023,6,16,21,0,202306162100,2023-06-16 21:00,874,-3,71.02602564102564,14976,-26,1054,31,-77,1,-1,-3,822,874,864.6683013099212,42.66830130992116,42.66830130992116,1820.58393667422,2704,874,822
2,1,Validacao,2023,6,16,22,0,202306162200,2023-06-16 22:00,881,7,68.46448717948718,14968,-31,1057,31,-88,10,11,12,801,881,931.8067290372653,130.8067290372653,130.8067290372653,17110.40036142855,6400,881,801
2,1,Validacao,2023,6,16,23,0,202306162300,2023-06-16 23:00,888,7,64.91483682983682,14973,-34,1047,-7,-85,0,10,9,787,888,898.4656601040926,111.4656601040926,111.4656601040926,12424.59338244111,10201,888,787
