EVENTO,SERIE,CONJUNTO,ANO,MES,DIA,HORA,MINUTO,COD_SEQUENCIAL,DATA_HORA,inp01_input_1_nivel_86472600,inp02_input_2_nivel_D-1h_86472600,inp03_input_3_chuva_med_acum_36h,inp04_input_6a_nivel_86448000,inp05_input_6b_nivel_D-14H_86448000,inp06_input_7a_nivel_86472000,inp07_input_7b_nivel_D-2h_86472000,inp08_input_7c_nivel_A-14h_86472000,inp09_input_10a_nivel_86430900,inp10_input_10b_nivel_D-14h_86430900,saida_8h_conv_nivel_8h_86472600,NIVEL_ATUAL_CM,OBSERVADO_CM_AUDITORIA,RNA_CM,ERRO_RNA_CM,ERRO_ABS_CM,E2_RNA,PERS_BASE_NIVEL_ATUAL_CM,E2_PERS,SERIE_AUDITORIA,CONJUNTO_AUDITORIA
3,3,Teste,2023,7,11,17,0,202307111700,2023-07-11 17:00,431,-2,4.278205128205128,14858,-26,515,-5,0,29126,-4,413,431,413,392.3243226357273,-20.6756773642727,20.6756773642727,427.4836344714985,431,324,3,Teste
3,3,Teste,2023,7,11,18,0,202307111800,2023-07-11 18:00,428,-3,4.978205128205128,14857,-24,514,-5,3,29126,-3,411,428,411,388.6285266021234,-22.37147339787657,22.37147339787657,500.4828219918991,428,289,3,Teste
3,3,Teste,2023,7,12,1,0,202307120100,2023-07-12 01:00,413,-2,5.544871794871794,14848,-20,498,-5,-1,29126,-1,405,413,405,377.3073712664236,-27.69262873357638,27.69262873357638,766.8816861757003,413,64,3,Teste
3,3,Teste,2023,7,12,2,0,202307120200,2023-07-12 02:00,411,-2,5.529487179487178,14848,-19,498,-3,3,29126,0,406,411,406,375.9146435302983,-30.08535646970165,30.08535646970165,905.128673909019,411,25,3,Teste
3,3,Teste,2023,7,12,3,0,202307120300,2023-07-12 03:00,409,-2,5.53076923076923,14848,-17,495,-3,0,29126,0,412,409,412,373.8201209091028,-38.1798790908972,38.1798790908972,1457.703167395529,409,9,3,Teste
3,3,Teste,2023,7,12,4,0,202307120400,2023-07-12 04:00,408,-1,5.553205128205127,14847,-16,494,-4,2,29126,0,417,408,417,375.2515559712969,-41.74844402870315,41.74844402870315,1742.93257881776,408,81,3,Teste
3,3,Teste,2023,7,12,5,0,202307120500,2023-07-12 05:00,406,-2,8.714743589743588,14846,-16,492,-3,2,29126,0,425,406,425,373.8049513135803,-51.19504868641968,51.19504868641968,2620.933010004881,406,361,3,Teste
3,3,Teste,2023,7,12,6,0,202307120600,2023-07-12 06:00,405,-1,15.76858974358974,14848,-12,492,-2,1,29127,1,436,405,436,379.2922587000414,-56.70774129995857,56.70774129995857,3215.767923343027,405,961,3,Teste
3,3,Teste,2023,7,12,7,0,202307120700,2023-07-12 07:00,405,0,17.38141025641026,14849,-9,491,-1,3,29127,1,449,405,449,382.851552465698,-66.14844753430202,66.14844753430202,4375.617111198308,405,1936,3,Teste
3,3,Teste,2023,7,12,8,0,202307120800,2023-07-12 08:00,405,0,20.40064102564103,14851,-6,491,-1,1,29127,1,464,405,464,384.701030239713,-79.29896976028704,79.29896976028704,6288.326605042917,405,3481,3,Teste
3,3,Teste,2023,7,12,9,0,202307120900,2023-07-12 09:00,405,0,26.71794871794872,14854,-1,492,1,4,29128,2,484,405,484,390.3782480069517,-93.62175199304829,93.62175199304829,8765.032446247842,405,6241,3,Teste
3,3,Teste,2023,7,12,13,0,202307121300,2023-07-12 13:00,425,8,56.69294871794872,14888,37,513,16,12,29147,21,652,425,652,466.7999994798082,-185.2000005201918,185.2000005201918,34299.04019267904,425,51529,3,Teste
3,3,Teste,2023,7,12,14,0,202307121400,2023-07-12 14:00,436,11,58.95128205128206,14901,51,528,25,17,29158,32,752,436,752,503.3940501558461,-248.6059498441539,248.6059498441539,61804.91829791396,436,99856,3,Teste
3,3,Teste,2023,7,12,15,0,202307121500,2023-07-12 15:00,449,13,65.44294871794872,14930,82,550,37,25,29172,46,862.6144999999999,449,862.6144999999999,567.380278029291,-295.2342219707089,295.2342219707089,87163.24582264978,449,171076.9546102499,3,Teste
3,3,Teste,2023,7,12,16,0,202307121600,2023-07-12 16:00,464,15,68.6846153846154,14965,117,583,55,33,29188,62,982,464,982,654.8486664459655,-327.1513335540345,327.1513335540345,107027.9950461832,464,268324,3,Teste
3,3,Teste,2023,7,12,17,0,202307121700,2023-07-12 17:00,484,20,72.0096153846154,14997,149,621,71,41,29204,78,1057,484,1057,761.8565048712449,-295.1434951287551,295.1434951287551,87109.68271681751,484,328329,3,Teste
3,3,Teste,2023,7,12,18,0,202307121800,2023-07-12 18:00,519,35,83.1596153846154,14995,148,663,80,43,29222,96,1106,519,1106,882.172859019493,-223.827140980507,223.827140980507,50098.58903950776,519,344569,3,Teste
3,3,Teste,2023,7,12,20,0,202307122000,2023-07-12 20:00,600,50,93.64294871794874,14999,151,809,146,86,29256,129,1179,600,1179,1164.51027123886,-14.48972876114044,14.48972876114044,209.9522395714205,600,335241,3,Teste
3,3,Teste,2023,7,12,21,0,202307122100,2023-07-12 21:00,652,52,93.6596153846154,15037,188,923,200,115,29269,142,1206,652,1206,1340.92319349669,134.9231934966901,134.9231934966901,18204.26814334529,652,306916,3,Teste
3,3,Teste,2023,7,12,22,0,202307122200,2023-07-12 22:00,752,100,93.67628205128207,15091,240,1115,306,192,29275,148,1226,752,1226,1502.307597756768,276.3075977567682,276.3075977567682,76345.88857811604,752,224676,3,Teste
3,3,Teste,2023,7,12,23,0,202307122300,2023-07-12 23:00,862.6144999999999,110.6144999999999,93.94294871794874,15139,285,1216,293,100,29274,146,1240,862.6144999999999,1240,1618.228647712495,378.2286477124946,378.2286477124946,143056.9099504224,862.6144999999999,142419.8156102501,3,Teste
3,3,Teste,2023,7,13,0,0,202307130000,2023-07-13 00:00,982,119.3855000000001,94.09935897435898,15160,303,1279,164,62,29269,139,1247,982,1247,1482.109198029559,235.1091980295594,235.1091980295594,55276.33499810256,982,70225,3,Teste
3,3,Teste,2023,7,13,1,0,202307130100,2023-07-13 01:00,1057,75,94.14935897435898,15168,306,1325,109,42,29266,133,1250,1057,1250,1565.3015654333,315.3015654333003,315.3015654333003,99415.07716468976,1057,37249,3,Teste
3,3,Teste,2023,7,13,2,0,202307130200,2023-07-13 02:00,1106,49,94.09166666666667,15168,294,1369,90,38,29261,123,1249,1106,1249,1568.741246012787,319.7412460127866,319.7412460127866,102234.4644018093,1106,20449,3,Teste
3,3,Teste,2023,7,13,3,0,202307130300,2023-07-13 03:00,1145,39,94.07628205128205,15168,280,1408,83,29,29256,109,1245,1145,1245,1553.632811991294,308.6328119912941,308.6328119912941,95254.21263765352,1145,10000,3,Teste
