EVENTO,SERIE,CONJUNTO,ANO,MES,DIA,HORA,MINUTO,COD_SEQUENCIAL,DATA_HORA,inp01_input_1_nivel_86472600,inp02_input_2_nivel_D-1h_86472600,inp03_input_3_chuva_med_acum_36h,inp04_input_4a_nivel_86298000,inp05_input_4b_nivel_D-10H_86298000,inp06_input_7a_nivel_86472000,inp07_input_7b_nivel_D-2h_86472000,inp08_input_7c_nivel_A-14h_86472000,inp09_input_8a_nivel_86125130,inp10_input_8b_nivel_D-11h_86125130,inp11_input_14_nivel_D-8h_86472600,inp12_input_15_nivel_D-12h_86472600,saida_8h_conv_nivel_8h_86472600,NIVEL_ATUAL_CM,OBSERVADO_CM_AUDITORIA,RNA_CM,ALT_OBSERVADA_CM,ALT_RNA_CM,ERRO_RNA_CM,ERRO_ABS_CM,E2_RNA,PERS_BASE_NIVEL_ATUAL_CM,E2_PERS,SERIE_AUDITORIA,CONJUNTO_AUDITORIA
2,3,Teste,2023,6,17,2,0,202306170200,2023-06-17 02:00,868,-13,53.13278554778555,370,-107,996,-24,-26,158,-11,-15,-12,742,868,742,658.0586198153704,-126,-209.9413801846296,-83.94138018462957,83.94138018462957,7046.155307300521,868,15876,3,Teste
2,3,Teste,2023,6,17,3,0,202306170300,2023-06-17 03:00,856,-12,48.35020979020979,361,-107,975,-37,-25,156,-13,-25,-30,735,856,735,638.5171592702276,-121,-217.4828407297724,-96.48284072977242,96.48284072977242,9308.938555286632,856,14641,3,Teste
2,3,Teste,2023,6,17,4,0,202306170400,2023-06-17 04:00,843,-13,42.78237762237762,355,-103,940,-56,-40,156,-13,-34,-45,728,843,728,638.6971903074136,-115,-204.3028096925864,-89.30280969258638,89.30280969258638,7974.9918189903,843,13225,3,Teste
2,3,Teste,2023,6,17,8,0,202306170800,2023-06-17 08:00,771,-16,28.30067599067599,329,-81,877,-39,-12,148,-17,-122,-106,681,771,681,620.7952915191901,-90,-150.2047084808099,-60.20470848080993,60.20470848080993,3624.606923259307,771,8100,3,Teste
2,3,Teste,2023,6,17,9,0,202306170900,2023-06-17 09:00,754,-17,27.16734265734265,324,-75,869,-22,-4,146,-17,-127,-120,666,754,666,613.9793259746907,-88,-140.0206740253093,-52.02067402530929,52.02067402530929,2706.150526047489,754,7744,3,Teste
2,3,Teste,2023,6,17,10,0,202306171000,2023-06-17 10:00,742,-12,25.55900932400932,317,-72,867,-10,-5,144,-19,-126,-139,654,742,654,624.8639945637606,-88,-117.1360054362394,-29.13600543623943,29.13600543623943,848.9068127805735,742,7744,3,Teste
2,3,Teste,2023,6,17,11,0,202306171100,2023-06-17 11:00,735,-7,24.90900932400932,312,-68,858,-11,-37,142,-20,-121,-153,646,735,646,624.3755788329794,-89,-110.6244211670206,-21.62442116702061,21.62442116702061,467.6155908086892,735,7921,3,Teste
2,3,Teste,2023,6,17,12,0,202306171200,2023-06-17 12:00,728,-7,23.76734265734265,308,-62,850,-17,-11,141,-19,-115,-165,641,728,641,630.9900977001754,-87,-97.0099022998246,-10.0099022998246,10.0099022998246,100.1981440520339,728,7569,3,Teste
2,3,Teste,2023,6,17,13,0,202306171300,2023-06-17 13:00,721,-7,22.49234265734265,303,-58,826,-32,-14,139,-19,-101,-160,638,721,638,626.5045852966775,-83,-94.49541470332247,-11.49541470332247,11.49541470332247,132.1445592013624,721,6889,3,Teste
2,3,Teste,2023,6,17,14,0,202306171400,2023-06-17 14:00,711,-10,20.64234265734265,297,-58,809,-41,10,138,-18,-90,-157,632,711,632,619.2453860095884,-79,-91.7546139904116,-12.7546139904116,12.7546139904116,162.6801780444033,711,6241,3,Teste
2,3,Teste,2023,6,17,20,0,202306172000,2023-06-17 20:00,641,-5,6.572342657342655,274,-43,753,-10,9,131,-15,-87,-130,594,641,594,584.0571804323872,-47,-56.94281956761279,-9.942819567612787,9.942819567612787,98.85966095410373,641,2209,3,Teste
2,3,Teste,2023,6,17,21,0,202306172100,2023-06-17 21:00,638,-3,6.205675990675988,271,-41,745,-13,17,130,-14,-83,-116,588,638,588,580.5402739095118,-50,-57.45972609048818,-7.459726090488175,7.459726090488175,55.64751334510999,638,2500,3,Teste
2,3,Teste,2023,6,17,22,0,202306172200,2023-06-17 22:00,632,-6,5.577470862470862,266,-42,740,-13,9,129,-13,-79,-110,581,632,581,569.437831011576,-51,-62.56216898842399,-11.56216898842399,11.56216898842399,133.6837517168735,632,2601,3,Teste
2,3,Teste,2023,6,17,23,0,202306172300,2023-06-17 23:00,624,-8,5.171060606060604,263,-40,732,-13,0,128,-13,-72,-111,574,624,574,558.5043217266957,-50,-65.49567827330429,-15.49567827330429,15.49567827330429,240.1160451497547,624,2500,3,Teste
2,3,Teste,2023,6,18,0,0,202306180000,2023-06-18 00:00,620,-4,4.927470862470861,260,-37,722,-18,-8,126,-13,-61,-108,568,620,568,559.8477589761601,-52,-60.15224102383991,-8.152241023839906,8.152241023839906,66.45903371077831,620,2704,3,Teste
2,3,Teste,2023,6,18,1,0,202306180100,2023-06-18 01:00,613,-7,4.760804195804194,256,-37,715,-17,2,125,-13,-53,-108,564,613,564,551.7297310217754,-49,-61.27026897822464,-12.27026897822464,12.27026897822464,150.5595007979818,613,2401,3,Teste
2,3,Teste,2023,6,18,7,0,202306180700,2023-06-18 07:00,574,-7,3.007424242424241,239,-32,674,-13,4,121,-10,-50,-72,509,574,509,517.2231178937434,-65,-56.77688210625661,8.223117893743392,8.223117893743392,67.61966789440277,574,4225,3,Teste
