EVENTO,SERIE,CONJUNTO,ANO,MES,DIA,HORA,MINUTO,COD_SEQUENCIAL,DATA_HORA,inp01_input_1_nivel_86472600,inp02_input_2_nivel_D-1h_86472600,inp03_input_3_chuva_med_acum_36h,inp04_input_7a_nivel_86472000,inp05_input_7b_nivel_D-2h_86472000,inp06_input_7c_nivel_A-14h_86472000,inp07_input_8a_nivel_86125130,inp08_input_8b_nivel_D-11h_86125130,saida_8h_alt_nivel_D8h_86472600,NIVEL_ATUAL_CM,OBSERVADO_CM_AUDITORIA,RNA_CM,ALT_OBSERVADA_CM,ALT_RNA_CM,ERRO_RNA_CM,ERRO_ABS_CM,E2_RNA,PERS_BASE_NIVEL_ATUAL_CM,E2_PERS,SERIE_AUDITORIA,CONJUNTO_AUDITORIA
12,1,Treino,2024,10,6,12,0,202410061200,2024-10-06 12:00,337,2,2.802564102564102,506,-1,-8,109,-2,-5,337,332,342.50589412275,-5,5.505894122749964,10.50589412274996,10.50589412274996,110.3738113184322,337,25,1,Treino
12,1,Treino,2024,10,6,13,0,202410061300,2024-10-06 13:00,337,0,2.648717948717949,501,-5,-11,109,-2,-5,337,332,337.7353474007098,-5,0.7353474007097702,5.73534740070977,5.73534740070977,32.89420980682831,337,25,1,Treino
12,1,Treino,2024,10,6,14,0,202410061400,2024-10-06 14:00,337,0,2.417948717948718,491,-15,-12,109,-2,-5,337,332,335.4603248470544,-5,-1.53967515294562,3.46032484705438,3.46032484705438,11.97384804714192,337,25,1,Treino
12,1,Treino,2024,10,6,15,0,202410061500,2024-10-06 15:00,336,-1,2.341025641025641,480,-21,-10,109,-2,-5,336,331,331.8969979718521,-5,-4.103002028147898,0.8969979718521017,0.8969979718521017,0.8046053615067839,336,25,1,Treino
12,1,Treino,2024,10,6,16,0,202410061600,2024-10-06 16:00,336,0,2.223076923076923,470,-21,-14,109,-2,-5,336,331,333.832399855432,-5,-2.167600144568041,2.832399855431959,2.832399855431959,8.02248894105098,336,25,1,Treino
12,1,Treino,2024,10,6,17,0,202410061700,2024-10-06 17:00,335,-1,2.161538461538461,463,-17,-15,108,-3,-5,335,330,330.8716477003341,-5,-4.128352299665949,0.8716477003340515,0.8716477003340515,0.7597697134976404,335,25,1,Treino
12,1,Treino,2024,10,6,18,0,202410061800,2024-10-06 18:00,334,-1,2.053846153846154,461,-9,-1,109,-1,-4,334,330,336.0800413829043,-4,2.080041382904255,6.080041382904255,6.080041382904255,36.96690321782829,334,16,1,Treino
12,1,Treino,2024,10,6,19,0,202410061900,2024-10-06 19:00,333,-1,1.9,461,-2,7,109,0,-3,333,330,338.9484842874024,-3,5.94848428740238,8.94848428740238,8.94848428740238,80.07537104188728,333,9,1,Treino
12,1,Treino,2024,10,6,20,0,202410062000,2024-10-06 20:00,332,-1,1.702797202797202,461,0,5,108,-1,-2,332,330,336.7403193544003,-2,4.740319354400299,6.740319354400299,6.740319354400299,45.43190499930326,332,4,1,Treino
12,1,Treino,2024,10,7,0,0,202410070000,2024-10-07 00:00,331,0,1.46074592074592,455,-3,-1,107,-2,4,331,335,334.9703163224758,4,3.97031632247581,-0.02968367752418999,0.02968367752418999,0.0008811207113601019,331,16,1,Treino
